,rank,name,link,location,points,Total students,International students,Total faculty staff,International Students Ratio,Citations per Faculty,Employer Reputation,Employment Outcomes,Overall,International Research Network,International Faculty Ratio,Academic Reputation,Faculty Student Ratio
710,701-750,Institut Teknologi Sepuluh Nopember (ITS Surabaya),https://www.topuniversities.com/universities/institut-teknologi-sepuluh-nopember-its-surabaya,"Surabaya, Indonesia",-,18415.0,517.0,"2,209",2.9,1.8,30.3,19.8,,12.2,60,13,30.7
711,701-750,Jadavpur University,https://www.topuniversities.com/universities/jadavpur-university,"Kolkata, India",-,12241.0,33.0,709,1.1,42.5,4.5,22.6,,51.3,,14.6,10.9
712,701-750,Jinan University (China),https://www.topuniversities.com/universities/jinan-university-china,"Guangzhou, China (Mainland)",-,39846.0,11950.0,"2,413",83.9,34.5,2,2.3,,52.1,49.4,3.9,9.3
713,701-750,Jouf University,https://www.topuniversities.com/universities/jouf-university,"Sakaka, Saudi Arabia",-,20580.0,626.0,"2,158",3.1,1.7,4.8,4.8,,25.9,100,5.4,43.7
714,701-750,Kagoshima University,https://www.topuniversities.com/universities/kagoshima-university,"Kagoshima City, Japan",-,10326.0,343.0,"1,331",3.3,4.7,2.4,3.4,,30.8,4.5,5,68.6
715,701-750,Khoja Akhmet Yassawi International Kazakh-Turkish University,https://www.topuniversities.com/universities/khoja-akhmet-yassawi-international-kazakh-turkish-university,"Turkestan, Kazakhstan",-,10353.0,1319.0,"1,101",21.7,1.2,13.4,13.8,,4.1,5.8,11.7,49.9
716,701-750,King Khalid University,https://www.topuniversities.com/universities/king-khalid-university,"Abha, Saudi Arabia",-,38669.0,1312.0,"3,657",3.4,1.9,2.7,8.5,,42.7,100,10,36.5
717,701-750,"National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute""",https://www.topuniversities.com/universities/national-technical-university-ukraine-igor-sikorsky-kyiv-polytechnic-institute,"Kyiv, Ukraine",-,21772.0,593.0,"2,523",2.8,1.5,26.7,15.7,,15.2,1.2,14.7,43.6
718,701-750,Pavol Jozef Šafárik University in Košice,https://www.topuniversities.com/universities/pavol-jozef-safarik-university-kosice,"Košice, Slovakia",-,6866.0,1596.0,810,61.8,4,2.6,27.8,,34.3,2.2,3.9,57.7
719,701-750,Princess Nourah bint Abdulrahman University,https://www.topuniversities.com/universities/rincess-nourah-bint-abdulrahman-university,"Riyadh, Saudi Arabia",-,22971.0,4330.0,"1,957",37,1.5,19.3,4.1,,39.8,85.5,14.4,18.3
720,701-750,Ritsumeikan University,https://www.topuniversities.com/universities/ritsumeikan-university,"Kyoto, Japan",-,35119.0,3086.0,"2,123",11.4,3.6,68.6,9.1,,28.1,27,13.3,9.3
721,701-750,Southern Cross University,https://www.topuniversities.com/universities/southern-cross-university,"Lismore, Australia",-,9529.0,3034.0,393,88.1,34.8,3.5,7.1,,57.3,73.5,4.1,3.9
722,701-750,Stevens Institute of Technology,https://www.topuniversities.com/universities/stevens-institute-technology,"Hoboken, United States",-,6175.0,1916.0,314,86.3,41.4,3.4,17,,27.5,42.1,2.5,5.9
723,701-750,Tallinn University of Technology (TalTech),https://www.topuniversities.com/universities/tallinn-university-technology-taltech,"Tallinn, Estonia",-,8739.0,1500.0,838,37.3,9.4,10.8,84.6,,79.7,35.2,12.7,25.1
724,701-750,Tokushima University,https://www.topuniversities.com/universities/tokushima-university,"Tokushima City, Japan",-,7482.0,207.0,955,2.8,8.3,1.5,8.7,,20.6,3,4.5,67.4
725,701-750,Tokyo Metropolitan University,https://www.topuniversities.com/universities/tokyo-metropolitan-university,"Tokyo, Japan",-,9116.0,612.0,808,7.6,26.4,5.1,6,,37.8,6.4,11.7,27.7
726,701-750,Tokyo University of Agriculture and Technology,https://www.topuniversities.com/universities/tokyo-university-agriculture-technology,"Tokyo, Japan",-,5693.0,336.0,399,6.4,41.9,5.6,5.1,,46.2,5.6,11.8,14.1
727,701-750,Universidad Católica del Uruguay (UCU),https://www.topuniversities.com/universities/universidad-catolica-del-uruguay-ucu,"Montevideo, Uruguay",-,4029.0,112.0,608,2.8,1.3,16.1,44.5,,6.9,11.8,11,49.9
728,701-750,Universidad Central de Venezuela,https://www.topuniversities.com/universities/universidad-central-de-venezuela,"Caracas, Venezuela",-,41059.0,,5176,,1.2,46.3,15.2,,22,,21.2,21.4
729,701-750,Universidad Iberoamericana IBERO,https://www.topuniversities.com/universities/universidad-iberoamericana-ibero,"Mexico City, Mexico",-,12884.0,325.0,"1,202",2.6,1.3,39.9,50,,7.1,6.6,17.5,29.3
730,701-750,Universidad San Francisco de Quito (USFQ),https://www.topuniversities.com/universities/universidad-san-francisco-de-quito-usfq,"Quito, Ecuador",-,7382.0,143.0,730,2.2,2.2,17.7,19.6,,18.5,62.9,12.5,32.6
731,701-750,Universidad de La Sabana,https://www.topuniversities.com/universities/universidad-de-la-sabana,"Bogotá, Colombia",-,11694.0,263.0,923,2.4,1.9,51.4,7.6,,7.5,8.5,17.3,19.9
732,701-750,Universidade Federal de Minas Gerais,https://www.topuniversities.com/universities/universidade-federal-de-minas-gerais,"Belo Horizonte, Brazil",-,49052.0,926.0,"3,238",2.1,8.6,8.7,37.6,,62.8,9,31,11.8
733,701-750,Universiti Tenaga Nasional (UNITEN),https://www.topuniversities.com/universities/universiti-tenaga-nasional-uniten,"Kajang, Malaysia",-,4172.0,764.0,465,37.9,11.5,14.8,14.8,,44.7,8.1,6.9,43.7
734,701-750,University of Bradford,https://www.topuniversities.com/universities/university-bradford,"Bradford, United Kingdom",-,8988.0,2710.0,501,84.3,23.8,6.4,23.5,,57.9,53.9,8.1,7.9
735,701-750,University of Cincinnati,https://www.topuniversities.com/universities/university-cincinnati,"Cincinnati, United States",-,32517.0,2321.0,"2,713",8.3,26.4,11,26.1,,80.4,6.6,12.4,23.3
736,701-750,University of Haifa,https://www.topuniversities.com/universities/university-haifa,"Haifa, Israel",-,17353.0,749.0,927,4.4,21.2,9,17,,57,15.7,12.9,27.5
737,701-750,University of Kentucky,https://www.topuniversities.com/universities/university-kentucky,"Lexington, United States",-,27329.0,1196.0,"2,207",4.4,28.4,14.9,15.6,,82.2,16.5,11.6,21.2
738,701-750,University of Mons,https://www.topuniversities.com/universities/university-mons,"Mons, Belgium",-,7715.0,1344.0,316,38.7,44.3,20.5,16.8,,45.3,32.6,5.8,3.7
739,701-750,University of New Brunswick,https://www.topuniversities.com/universities/university-new-brunswick,"Fredericton, Canada",-,8307.0,1192.0,709,26.9,21.2,12.1,16.6,,52.2,64.8,4.4,24.9
740,701-750,University of New Mexico,https://www.topuniversities.com/universities/university-new-mexico,"Albuquerque, United States",-,17346.0,755.0,"2,073",4.4,21.6,7.2,7.7,,77.7,10.8,12.7,32.7
741,701-750,University of Oklahoma,https://www.topuniversities.com/universities/university-oklahoma,"Norman, United States",-,23692.0,1268.0,"1,758",5.6,37.1,13.2,27,,71,24.4,9.5,16.6
742,701-750,University of Oregon,https://www.topuniversities.com/universities/university-oregon,"Eugene, United States",-,20387.0,1199.0,"1,391",6.3,30,11.9,30.2,,55.9,8,17,14.3
743,701-750,University of Pecs,https://www.topuniversities.com/universities/university-pecs,"Pécs, Hungary",-,16833.0,3945.0,"1,633",62.5,2.7,8.6,16.6,,40.9,9.1,12.7,35.6
744,701-750,University of Portsmouth,https://www.topuniversities.com/universities/university-portsmouth,"Portsmouth, United Kingdom",-,24361.0,7148.0,"1,418",81.6,17.9,13.3,6.5,,79,73.7,7.9,8.4
745,701-750,University of South Bohemia in České Budějovice,https://www.topuniversities.com/universities/university-south-bohemia-ceske-budejovice,"České Budějovice, Czechia",-,8405.0,,1108,,5,2.3,10.3,,53.2,,5.2,71.4
746,701-750,University of South Carolina,https://www.topuniversities.com/universities/university-south-carolina,"Columbia, United States",-,32884.0,1444.0,"2,146",4.4,27.4,18.5,26.3,,81,21.8,15.4,11.5
747,701-750,University of Trieste,https://www.topuniversities.com/universities/university-trieste,"Trieste, Italy",-,16314.0,1287.0,736,9.7,52.3,3.7,5.3,,80.2,6.7,11.8,4.5
748,701-750,University of Vermont,https://www.topuniversities.com/universities/university-vermont,"Burlington, United States",-,12118.0,425.0,"1,173",3.5,20.9,3.4,27.7,,48.7,6.1,3.1,52.7
749,701-750,University of Westminster,https://www.topuniversities.com/universities/university-westminster,"London, United Kingdom",-,17571.0,8505.0,919,99.9,7.2,8.3,29.8,,41.1,78.2,11.7,6.3
750,701-750,University of the Basque Country,https://www.topuniversities.com/universities/university-basque-country,"Leioa, Spain",-,36627.0,1533.0,"3,488",4.4,12.8,5.5,9.7,,91.7,2.7,18.1,35.7
751,701-750,Victoria University,https://www.topuniversities.com/universities/victoria-university,"Melbourne, Australia",-,16178.0,4037.0,507,77.2,36.3,6.4,7.8,,52.8,44.7,7.3,2.3
752,701-750,Vilnius Gediminas Technical University (VILNIUS TECH),https://www.topuniversities.com/universities/vilnius-gediminas-technical-university-vilnius-tech,"Vilnius, Lithuania",-,6750.0,1007.0,737,28.9,7.7,20.6,23.9,,44.2,13,9.6,36.3
753,701-750,Virginia Commonwealth University,https://www.topuniversities.com/universities/virginia-commonwealth-university,"Richmond, United States",-,25271.0,846.0,"2,702",3.4,15.4,8.9,18,,78,13.7,6.9,45.9
754,701-750,Zayed University,https://www.topuniversities.com/universities/zayed-university,"Abu Dhabi,, United Arab Emirates",-,7748.0,139.0,645,2.1,4.8,13.9,14.5,,41,100,11.8,25.6
755,751-800,Beijing University of Technology,https://www.topuniversities.com/universities/beijing-university-technology,"Beijing, China (Mainland)",-,24870.0,785.0,"2,544",3.2,22.1,4.2,7.4,,25.6,5.5,7.2,41
756,751-800,Belarusian National Technical University (BNTU),https://www.topuniversities.com/universities/belarusian-national-technical-university-bntu,"Minsk, Belarus",-,17432.0,1727.0,"2,111",13.9,1.1,23.6,27.2,,4.8,2.4,10.9,41.6
757,751-800,CY Cergy Paris University,https://www.topuniversities.com/universities/cy-cergy-paris-university,"Paris, France",-,8757.0,1743.0,874,48.3,10.3,2.3,3.5,,43.3,46.3,3.1,36.8
758,751-800,Chonnam National University,https://www.topuniversities.com/universities/chonnam-national-university,"Gwangju, South Korea",-,20697.0,1977.0,"2,120",13.1,14.3,4.8,3.5,,32.2,8.9,9.4,41.2
759,751-800,Chungnam National University,https://www.topuniversities.com/universities/chungnam-national-university,"Daejeon, South Korea",-,18012.0,1704.0,"2,205",12.9,9.1,9.4,7.5,,33,7.8,9.7,42.5
760,751-800,Clark University,https://www.topuniversities.com/universities/clark-university,"Worcester, United States",-,3196.0,723.0,297,59.3,22,2.1,56.5,,25.3,15.9,2.8,29.6
761,751-800,Dankook University,https://www.topuniversities.com/universities/dankook-university,"Seoul, South Korea",-,23239.0,1379.0,"3,066",6.4,3.1,3.4,3.4,,16.5,4.9,3.2,68.6
762,751-800,Florida International University,https://www.topuniversities.com/universities/florida-international-university,"Miami, United States",-,34409.0,3308.0,"2,293",13.3,16,24.2,14.5,,90.6,20.9,14.3,11.2
763,751-800,Howard University,https://www.topuniversities.com/universities/howard-university,"Washington D.C., United States",-,10294.0,496.0,"1,125",5,4,9.9,34.3,,22.4,1,5.7,56.7
764,751-800,Instituto Politécnico Nacional (IPN),https://www.topuniversities.com/universities/instituto-politecnico-nacional-ipn,"Ciudad de México, Mexico",-,141583.0,509.0,"8,537",1.2,2.8,50.9,9.5,,60.9,2.9,20,9.2
765,751-800,Instituto Tecnológico Autónomo de México (ITAM),https://www.topuniversities.com/universities/instituto-tecnologico-autonomo-de-mexico-itam,"Mexico City, Mexico",-,5275.0,66.0,319,1.7,2,47.4,68.7,,5.1,64.1,14.2,11.9
766,751-800,Instituto Tecnológico de Buenos Aires (ITBA),https://www.topuniversities.com/universities/instituto-tecnologico-de-buenos-aires-itba,"Buenos Aires, Argentina",-,3527.0,362.0,209,14.8,1.7,24.3,36.4,,5.8,43.2,8.4,31.9
767,751-800,Keele University,https://www.topuniversities.com/universities/keele-university,"Keele, United Kingdom",-,9611.0,1475.0,729,30.4,24.9,2.9,3.3,,59.8,54.7,6.1,17.7
768,751-800,Lanzhou University,https://www.topuniversities.com/universities/lanzhou-university,"Lanzhou, China (Mainland)",-,32812.0,391.0,"2,944",1.7,35.3,1.7,4.3,,59.9,2.7,7.3,24.7
769,751-800,Lobachevsky University,https://www.topuniversities.com/universities/lobachevsky-university,"Nizhny Novgorod, Russia",-,16387.0,2076.0,"1,804",21.5,2.3,4.7,5.5,,17.8,2.5,8.1,52.8
770,751-800,"Manipal Academy of Higher Education, Manipal, Karnataka, India",https://www.topuniversities.com/universities/manipal-academy-higher-education-manipal-karnataka-india,"Manipal, India",-,23600.0,1579.0,"2,656",7.6,3.6,8.9,10.7,,46.6,1.8,7.9,51.9
771,751-800,Memorial University of Newfoundland,https://www.topuniversities.com/universities/memorial-university-newfoundland,"St. John's, Canada",-,16317.0,3808.0,"1,078",62.1,28.1,7.1,7.1,,77,27.6,6.2,11.9
772,751-800,Michigan Technological University,https://www.topuniversities.com/universities/michigan-technological-university,"Houghton, United States",-,6319.0,536.0,564,10.8,35.2,5.6,17.5,,45.3,16.4,4.6,28.3
773,751-800,Middlesex University,https://www.topuniversities.com/universities/middlesex-university,"London, United Kingdom",-,16438.0,7895.0,940,98.9,16.3,5,9.7,,56.5,85.2,5,8
774,751-800,Osaka Prefecture University,https://www.topuniversities.com/universities/osaka-prefecture-university,"Osaka City, Japan",-,7727.0,299.0,875,3.9,9.8,7.3,5.9,,20.4,4.9,4.9,52.6
775,751-800,Paris Lodron University of Salzburg,https://www.topuniversities.com/universities/paris-lodron-university-salzburg,"Salzburg , Austria",-,7183.0,2330.0,"1,056",93.1,10.6,1.1,19.1,,68.3,92.6,8.8,7.7
776,751-800,Philipps-Universität Marburg,https://www.topuniversities.com/universities/philipps-universitat-marburg,"Marburg, Germany",-,23120.0,3193.0,"1,105",25.1,33.7,4.3,6.6,,69.2,18.4,13.8,6.9
777,751-800,Pontificia Universidad Católica de Valparaíso,https://www.topuniversities.com/universities/pontificia-universidad-catolica-de-valparaiso,"Valparaíso, Chile",-,17469.0,221.0,874,1.6,6.6,25,4,,44.7,12.3,25.2,5.7
778,751-800,Riga Technical University,https://www.topuniversities.com/universities/riga-technical-university,"Riga, Latvia",-,10689.0,2369.0,882,57.5,3,22.4,61,,30,15.9,11.8,22.6
779,751-800,Saint Petersburg Electrotechnical University ETU-LETI,https://www.topuniversities.com/universities/saint-petersburg-electrotechnical-university-etu-leti,"St. Petersburg, Russia",-,8486.0,1756.0,967,51.5,1.8,3.9,4.3,,11,5.4,4.1,53.4
780,751-800,Shiraz University,https://www.topuniversities.com/universities/shiraz-university,"Shiraz, Iran",-,14405.0,175.0,735,1.7,53.4,6,26.1,,48.8,1.1,7.3,5.9
781,751-800,Syracuse University,https://www.topuniversities.com/universities/syracuse-university,"Syracuse, United States",-,19621.0,3573.0,"1,392",41.4,17,15.9,51.9,,48.9,5.4,13.6,14.6
782,751-800,Temple University,https://www.topuniversities.com/universities/temple-university,"Philadelphia, United States",-,32672.0,1863.0,"2,781",6.1,19.4,9.1,22.8,,81.2,4.4,12.6,24.7
783,751-800,Universidad Adolfo Ibáñez,https://www.topuniversities.com/universities/universidad-adolfo-ibanez,"Santiago, Chile",-,10542.0,491.0,527,4.8,5.2,58.5,17.6,,14.1,37.8,17,4
784,751-800,Universidad Autonoma Chapingo,https://www.topuniversities.com/universities/universidad-autonoma-chapingo,"Texcoco, Mexico",-,6228.0,47.0,"1,092",1.4,1.4,2.5,7.3,,2.8,3.1,3.5,66.4
785,751-800,Universidad Católica Andres Bello,https://www.topuniversities.com/universities/universidad-catolica-andres-bello,"Caracas City, Venezuela",-,11987.0,284.0,621,2.5,1,49.7,28.5,,,1.5,24.2,3.3
786,751-800,Universidad de San Andrés - UdeSA,https://www.topuniversities.com/universities/universidad-de-san-andres-udesa,"Buenos Aires, Argentina",-,2068.0,100.0,231,5,2,21.2,76.4,,2.1,8.9,6,51
787,751-800,Universidad de la República (Udelar),https://www.topuniversities.com/universities/universidad-de-la-republica-udelar,"Montevideo, Uruguay",-,76215.0,2166.0,"6,407",2.9,1.7,18.7,21.9,,42.1,7,22.8,22.6
788,751-800,Universidad del Rosario,https://www.topuniversities.com/universities/universidad-del-rosario,"Bogotá, Colombia",-,10692.0,119.0,834,1.6,2.9,52,37.8,,22.2,12.3,13.6,19.2
789,751-800,Universidade Federal do Rio Grande Do Sul,https://www.topuniversities.com/universities/universidade-federal-do-rio-grande-do-sul,"Porto Alegre, Brazil",-,40502.0,560.0,"3,196",1.8,11.7,3.9,10.5,,73.8,2.5,28.5,10
790,751-800,Universidade de Santiago de Compostela,https://www.topuniversities.com/universities/universidade-de-santiago-de-compostela,"Santiago de Compostela, Spain",-,24485.0,1984.0,"1,678",5.7,19.5,7.3,17.8,,82,2,22,13.2
791,751-800,Universitas Padjadjaran (UNPAD),https://www.topuniversities.com/universities/universitas-padjadjaran-unpad,"Bandung, Indonesia",-,31751.0,329.0,"3,347",1.6,1.3,24.3,8.5,,13.7,23,14.6,33.4
792,751-800,Universitat Rovira i Virgili,https://www.topuniversities.com/universities/universitat-rovira-i-virgili,"Tarragona, Spain",-,13695.0,1829.0,"1,027",23.6,43.1,2.1,5.3,,82.4,7.9,6.3,17.2
793,751-800,University Duesseldorf,https://www.topuniversities.com/universities/university-duesseldorf,"Düsseldorf, Germany",-,34913.0,3888.0,"3,854",17.1,8.5,6.6,12.9,,66.8,,12.9,37.9
794,751-800,University of Denver,https://www.topuniversities.com/universities/university-denver1,"Denver, United States",-,8100.0,450.0,"1,030",5.9,12.2,8.1,37.2,,19.2,2.6,4.9,48.2
795,751-800,University of Houston,https://www.topuniversities.com/universities/university-houston,"Houston, United States",-,38027.0,2880.0,"1,703",9.1,35.2,15.8,29.9,,77.2,6.3,14.4,4.4
796,751-800,University of Hyderabad,https://www.topuniversities.com/universities/university-hyderabad,"Hyderabad, India",-,5327.0,103.0,405,2.2,38.7,3.1,9.7,,29.7,2.1,11.4,17.8
797,751-800,University of Siena,https://www.topuniversities.com/universities/university-siena,"Siena, Italy",-,12150.0,1380.0,687,17.7,42.2,2.8,4,,57.5,2.1,11.9,8.3
798,751-800,University of Windsor,https://www.topuniversities.com/universities/university-windsor,"Windsor, Canada",-,13248.0,2429.0,324,41,57.7,6.3,20.1,,53.6,,2.8,1.7
799,751-800,Université Côte d'Azur,https://www.topuniversities.com/universities/universite-cote-dazur,"Nice, France",-,31962.0,5888.0,"1,592",42.1,25.9,2.9,2.6,,82.7,33.4,16,5
800,751-800,Université de Lille,https://www.topuniversities.com/universities/universite-de-lille,"Lille, France",-,66590.0,7963.0,"3,098",19.3,10.9,3.7,4.6,,92.2,18.3,25,4.8
801,751-800,Université de Sherbrooke,https://www.topuniversities.com/universities/universite-de-sherbrooke,"Sherbrooke, Canada",-,14373.0,1115.0,"1,168",9.4,21,11.2,10.5,,44.4,57.4,6.1,21.6
802,751-800,Université de Sousse,https://www.topuniversities.com/universities/universite-de-sousse,"Sousse, Tunisia",-,24999.0,548.0,"3,297",2.4,1.6,1,11.7,,21.4,1.1,2.8,71.4
803,801-1000,AGH University of Science and Technology,https://www.topuniversities.com/universities/agh-university-science-technology,"Krakow, Poland",-,20811.0,483.0,"2,193",2.5,7.4,11.8,5.4,,64.7,2.3,8.8,33.9
804,801-1000,Karaganda Buketov University,https://www.topuniversities.com/universities/karaganda-buketov-university,"Karaganda, Kazakhstan",-,13811.0,547.0,"1,245",4,1.2,15.1,22.7,,2.1,13.8,11.5,29.1
805,801-1000,"Adam Mickiewicz University, Poznań",https://www.topuniversities.com/universities/adam-mickiewicz-university-poznan,"Poznań, Poland",-,30152.0,1436.0,"2,823",4.9,5.4,6.1,7,,84.4,7.2,16.1,27.2
806,801-1000,"Ain Shams University in Cairo (ASU, Cairo)",https://www.topuniversities.com/universities/ain-shams-university-cairo-asu-cairo,"Cairo, Egypt",-,155929.0,9128.0,"10,912",6.3,1.9,18.6,31.8,,72.5,26.8,20.4,9.5
807,801-1000,Australian Catholic University,https://www.topuniversities.com/universities/australian-catholic-university,"Melbourne, Australia",-,23728.0,4790.0,"1,127",49.5,15,11.4,4.3,,43.2,74.1,7,5
808,801-1000,Bangladesh University of Engineering and Technology,https://www.topuniversities.com/universities/bangladesh-university-engineering-technology,"Dhaka, Bangladesh",-,5021.0,5.0,462,1.1,9.5,25.2,46.8,,11.7,,14.1,21.7
809,801-1000,Beijing Foreign Studies University,https://www.topuniversities.com/universities/beijing-foreign-studies-university,"Beijing, China (Mainland)",-,10190.0,1559.0,923,30.3,1.4,2.1,9.2,,3.6,22.4,5,29.5
810,801-1000,Beijing Jiaotong University,https://www.topuniversities.com/universities/beijing-jiaotong-university,"Beijing, China (Mainland)",-,27932.0,2504.0,"2,111",11.8,26,4.2,11.6,,47.4,5.7,10,17.5
811,801-1000,Beijing University of Chinese Medicine,https://www.topuniversities.com/universities/beijing-university-chinese-medicine,"Beijing, China (Mainland)",-,11644.0,944.0,0,10.1,6.8,1.4,2.8,,10.7,,4.4,38
812,801-1000,Beijing University of Posts and Telecommunications,https://www.topuniversities.com/universities/beijing-university-posts-telecommunications,"Beijing, China (Mainland)",-,0.0,366.0,0,1.9,42.6,2,13.6,,24.2,5.6,2.9,10.9
813,801-1000,Beirut Arab University,https://www.topuniversities.com/universities/beirut-arab-university,"Beirut, Lebanon",-,5857.0,1097.0,561,43.5,2.3,15.9,42.6,,17,70.1,9.8,14.3
814,801-1000,Bournemouth University,https://www.topuniversities.com/universities/bournemouth-university,"Poole, United Kingdom",-,15283.0,3206.0,778,52.7,21.1,11.1,11.4,,65.2,77.8,5.2,5.9
815,801-1000,Budapest University of Technology and Economics,https://www.topuniversities.com/universities/budapest-university-technology-economics,"Budapest, Hungary",-,18140.0,2176.0,"1,357",19.4,8.8,19.8,29.4,,78.7,2.5,14.6,17
816,801-1000,Ca' Foscari University of Venice,https://www.topuniversities.com/universities/ca-foscari-university-venice,"Venice, Italy",-,15318.0,1056.0,778,7.9,14.5,17.1,8.4,,47,32.6,17.8,4.7
817,801-1000,Catania University,https://www.topuniversities.com/universities/catania-university,"Catania, Italy",-,25909.0,230.0,"1,183",1.5,33.3,3.2,4.8,,61.4,1.7,11.4,4.6
818,801-1000,Chandigarh University,https://www.topuniversities.com/universities/chandigarh-university,"Mohali, India",-,27145.0,2741.0,"2,418",11.2,1.3,31.8,,,12.2,24.6,8.6,18.7
819,801-1000,Chang Jung Christian University,https://www.topuniversities.com/universities/chang-jung-christian-university,"Tainan City, Taiwan",-,7623.0,391.0,794,5.3,1.7,2.5,7.5,,3.3,6.6,4.6,41.8
820,801-1000,Charles Sturt University,https://www.topuniversities.com/universities/charles-sturt-university,"Thurgoona, Australia",-,9245.0,3218.0,"1,060",93.1,9.6,7.5,8.1,,64.5,30.1,4.1,6.4
821,801-1000,China University of Mining and Technology,https://www.topuniversities.com/universities/china-university-mining-technology,"Xuzhou, China (Mainland)",-,0.0,720.0,0,,50.2,1.7,9.2,,35.6,,3,6.4
822,801-1000,Clarkson University,https://www.topuniversities.com/universities/clarkson-university,"Potsdam, United States",-,4030.0,308.0,295,9.2,39.2,3.2,19,,42.9,49.6,1,15.9
823,801-1000,Clemson University,https://www.topuniversities.com/universities/clemson-university,"Clemson, United States",-,24089.0,1196.0,"1,619",5.1,21,16.4,12,,71.3,2.1,8.1,12.5
824,801-1000,College of William and Mary,https://www.topuniversities.com/universities/college-william-mary,"Williamsburg, United States",-,8709.0,583.0,789,7.6,19,12.4,65.9,,34,6.5,8,30
825,801-1000,Cracow University of Technology (Politechnika Krakowska),https://www.topuniversities.com/universities/cracow-university-technology-politechnika-krakowska,"Krakow, Poland",-,12894.0,256.0,"1,044",2.2,4.1,25.2,6.3,,36.1,2.3,11.3,21.4
826,801-1000,Czech University of Life Sciences in Prague,https://www.topuniversities.com/universities/czech-university-life-sciences-prague,"Prague, Czechia",-,15889.0,3322.0,943,52.4,9.3,6.2,10,,85.1,28.1,10.1,8.8
827,801-1000,De La Salle University,https://www.topuniversities.com/universities/de-la-salle-university,"Manila, Philippines",-,12070.0,356.0,788,3,4.1,34.3,76.3,,13.2,2.2,19.1,11.5
828,801-1000,De Montfort University,https://www.topuniversities.com/universities/de-montfort-university,"Leicester, United Kingdom",-,24044.0,8768.0,"1,256",95.1,6.8,5.2,3.6,,63.4,73.4,4.7,5.9
829,801-1000,Diponegoro University,https://www.topuniversities.com/universities/diponegoro-university,"Semarang, Indonesia",-,35688.0,884.0,"3,650",2.6,1.4,24.2,14.2,,13.9,21.1,15,13.1
830,801-1000,Donghua University,https://www.topuniversities.com/universities/donghua-university,"Shanghai, China (Mainland)",-,23025.0,869.0,"2,074",3.8,30.2,1.4,2.5,,34.7,2.5,2.8,29
831,801-1000,Duy Tan University,https://www.topuniversities.com/universities/duy-tan-university,"Da Nang, Vietnam",-,25308.0,88.0,"1,069",1.2,19.5,24.7,23.3,,81.8,37.6,8.8,3.9
832,801-1000,Edinburgh Napier University,https://www.topuniversities.com/universities/edinburgh-napier-university,"Edinburgh, United Kingdom",-,13635.0,4378.0,608,88.6,9.4,4,9.5,,42.1,62.7,4.4,5
833,801-1000,Gdańsk University of Technology,https://www.topuniversities.com/universities/gdansk-university-technology,"Gdańsk, Poland",-,11429.0,587.0,"1,132",5.3,11.1,13.1,6.6,,61.8,3.3,8.5,37.3
834,801-1000,Georgia State University,https://www.topuniversities.com/universities/georgia-state-university,"Atlanta, United States",-,30384.0,1766.0,"1,416",6.3,26.1,19.7,16.6,,51.7,8.5,12.7,4.8
835,801-1000,German Jordanian University,https://www.topuniversities.com/universities/german-jordanian-university,"Amman, Jordan",-,3601.0,408.0,370,17.6,3.8,9.3,54.6,,31.9,56.1,5.8,24.6
836,801-1000,Gulf University for Science and Technology,https://www.topuniversities.com/universities/gulf-university-science-technology,"Kuwait City, Kuwait",-,2415.0,332.0,184,24.9,4.1,7.1,100,,6.1,100,7.7,8.4
837,801-1000,Hacettepe University,https://www.topuniversities.com/universities/hacettepe-university,"Ankara, Turkey",-,48538.0,1291.0,"2,929",2.7,5.4,18.8,15.2,,72.8,3.1,18,8.6
838,801-1000,Harbin Engineering University,https://www.topuniversities.com/universities/harbin-engineering-university,"Harbin, China (Mainland)",-,28545.0,783.0,"1,509",2.8,33.7,1.4,6.6,,30,3.4,2.9,19.1
839,801-1000,"ITESO, Universidad Jesuita de Guadalajara",https://www.topuniversities.com/universities/iteso-universidad-jesuita-de-guadalajara,"Tlaquepaque, Mexico",-,11100.0,114.0,"2,482",1.6,1,7.7,8.5,,2.1,2.8,5.7,44.1
840,801-1000,Indian Institute of Technology Bhubaneswar,https://www.topuniversities.com/universities/indian-institute-technology-bhubaneswar,"Bhubaneswar, India",-,2498.0,3.0,173,1,48.6,3.8,23.3,,11.6,1.7,3.5,16.1
841,801-1000,Indiana University–Purdue University Indianapolis,https://www.topuniversities.com/universities/indiana-university-purdue-university-indianapolis,"Indianapolis, United States",-,21619.0,1113.0,"1,433",5.4,17.7,7.1,3.8,,42.8,30.7,8.3,20
842,801-1000,Instituto Tecnológico de Santo Domingo (INTEC),https://www.topuniversities.com/universities/instituto-tecnologico-de-santo-domingo-intec,"Santo Domingo, Dominican Republic",-,5194.0,184.0,559,3.5,1.1,8.7,31,,7.6,14.7,3.7,46.5
843,801-1000,International Christian University,https://www.topuniversities.com/universities/international-christian-university,"Tokyo, Japan",-,3105.0,319.0,231,14.8,1.7,12,33.5,,7,76.4,4.3,16.6
844,801-1000,Islamic University of Madinah,https://www.topuniversities.com/universities/islamic-university-madinah,"Madinah, Saudi Arabia",-,13924.0,12270.0,972,100,1.3,3.5,4.6,,8.4,80.7,3.5,9.5
