,rank,name,link,location,points,Total students,International students,Total faculty staff,International Students Ratio,Citations per Faculty,Employer Reputation,Employment Outcomes,Overall,International Research Network,International Faculty Ratio,Academic Reputation,Faculty Student Ratio
504,501-510,Middle East Technical University,https://www.topuniversities.com/universities/middle-east-technical-university,"Ankara, Turkey",-,16562.0,1692.0,1072,14.7,25,52.7,30.1,,58.5,10.7,26.8,8.5
505,501-510,Missouri University of Science and Technology,https://www.topuniversities.com/universities/missouri-university-science-technology,"Rolla, United States",-,6509.0,461.0,358,8.2,79.9,4.3,4.2,,35.2,86.9,3.2,7.2
506,501-510,Swarthmore College,https://www.topuniversities.com/universities/swarthmore-college,"Philadelphia, United States",-,1435.0,216.0,233,,19.3,1.5,99.1,,10.3,2.3,3.5,91.8
507,501-510,University of Aveiro,https://www.topuniversities.com/universities/university-aveiro,"Aveiro, Portugal",-,13852.0,1515.0,861,8.1,68.9,6.3,8,,92.4,4.8,13.1,18.4
508,501-510,University of St.Gallen (HSG),https://www.topuniversities.com/universities/university-stgallen-hsg,"St. Gallen, Switzerland",-,8913.0,2752.0,490,85.2,29.3,38.6,98.5,,8,100,8.8,6.7
509,501-510,University of Stirling,https://www.topuniversities.com/universities/university-stirling,"Stirling, United Kingdom",-,10788.0,3000.0,705,77.8,41.2,12.1,23.2,,59.5,70,10.8,13.5
510,501-510,University of Tehran,https://www.topuniversities.com/universities/university-tehran,"Tehran, Iran",-,45295.0,749.0,2137,2,55.8,27.5,28.5,,80.2,2,22.6,4.2
511,501-510,Université de Montpellier,https://www.topuniversities.com/universities/universite-de-montpellier,"Montpellier, France",-,41320.0,6132.0,2509,28.6,55.1,5.9,5.4,,99.1,23.6,19.8,9.4
512,501-510,Yokohama City University,https://www.topuniversities.com/universities/yokohama-city-university,"Yokohama City, Japan",-,5139.0,134.0,903,2.7,10.3,2.7,5.6,,14.9,4.1,3.5,99.2
513,511-520,Abai Kazakh National Pedagogical University,https://www.topuniversities.com/universities/abai-kazakh-national-pedagogical-university,"Almaty, Kazakhstan",-,16670.0,524.0,2006,3.2,1.1,17.1,13.7,,3.2,37.7,19.4,60.1
514,511-520,Florida State University,https://www.topuniversities.com/universities/florida-state-university,"Tallahassee, United States",-,38241.0,1584.0,2211,4.2,33.1,37.1,22.3,,72.8,15,26.7,8.2
515,511-520,"Goldsmiths, University of London",https://www.topuniversities.com/universities/goldsmiths-university-london,"London, United Kingdom",-,8780.0,3348.0,674,96.6,17.4,7.5,20.1,,30.6,87.3,16.2,18.3
516,511-520,Universidad de Alcalá,https://www.topuniversities.com/universities/universidad-de-alcala,"Alcalá de Henares, Spain",-,17446.0,4480.0,2274,70.8,5,5.2,8,,63.1,21.8,9.2,70
517,511-520,Universidad de Costa Rica,https://www.topuniversities.com/universities/universidad-de-costa-rica,"San Jose, Costa Rica",-,32124.0,,2997,,1.8,44.7,51.7,,33.5,,31.2,32.6
518,511-520,University of Bayreuth,https://www.topuniversities.com/universities/university-bayreuth,"Bayreuth, Germany",-,7729.0,1040.0,910,23.9,28.9,16.8,27.7,,75.4,51.5,9.9,42.8
519,511-520,University of Canberra,https://www.topuniversities.com/universities/university-canberra,"Bruce, Australia",-,10871.0,2480.0,410,70.1,43.6,8.8,7.4,,55.5,94.4,12.9,3.1
520,511-520,"University of Missouri, Columbia",https://www.topuniversities.com/universities/university-missouri-columbia,"Columbia, United States",-,25301.0,1017.0,"2,649",4,20.1,15.2,39.4,,71.4,59.2,15.4,43.5
521,511-520,Università Cattolica del Sacro Cuore,https://www.topuniversities.com/universities/universita-cattolica-del-sacro-cuore,"Milan, Italy",-,25771.0,1793.0,"3,930",8,6.7,31.6,20.1,,62.6,5.9,22.4,47.6
522,521-530,Altai State University,https://www.topuniversities.com/universities/altai-state-university,"Barnaul, Russia",-,9188.0,2533.0,"1,322",58.7,1.4,5.1,4.6,,12.4,7.5,7.7,81.3
523,521-530,Beijing University of Chemical Technology,https://www.topuniversities.com/universities/beijing-university-chemical-technology,"Beijing, China (Mainland)",-,34327.0,336.0,0,,86.9,1.5,4.7,,29.7,,4.6,20.2
524,521-530,Christian-Albrechts-University zu Kiel,https://www.topuniversities.com/universities/christian-albrechts-university-zu-kiel,"Kiel, Germany",-,26205.0,2161.0,"2,889",10.3,22.8,10.3,7.2,,94.3,,18.8,49.4
525,521-530,Poznan University of Life Sciences,https://www.topuniversities.com/universities/poznan-university-life-sciences,"Poznań, Poland",-,7157.0,83.0,"1,500",1.6,3.5,3,6.6,,40.6,,5.4,99.6
526,521-530,The New School,https://www.topuniversities.com/universities/new-school,"New York, United States",-,10399.0,3768.0,"1,364",94.9,2.6,7.4,15.3,,10.9,3.9,15.6,53.8
527,521-530,University of Bordeaux,https://www.topuniversities.com/universities/university-bordeaux,"Talence, France",-,54356.0,6888.0,"3,142",21.4,20.2,5.5,8.7,,95.2,27.3,30.8,19.6
528,521-530,University of Delhi,https://www.topuniversities.com/universities/university-delhi,"New Delhi, India",-,27471.0,407.0,"1,129",1.9,27.2,31.9,92,,70.8,1.5,34.2,4.5
529,521-530,University of Texas Dallas,https://www.topuniversities.com/universities/university-texas-dallas,"Richardson, United States",-,27265.0,4582.0,"1,109",35.9,64.1,17,4.8,,70.2,14.6,14.2,4
530,521-530,Université de Liège,https://www.topuniversities.com/universities/universite-de-liege,"Liège, Belgium",-,23060.0,4654.0,"1,685",49.5,27.1,25,15.2,,85.9,47.9,18,15.9
531,521-530,Warsaw University of Technology,https://www.topuniversities.com/universities/warsaw-university-technology,"Warsaw, Poland",-,20623.0,1819.0,"2,379",11.5,4.8,58.5,17.2,,63.5,2,22.2,35.1
532,531-540,Hitotsubashi University,https://www.topuniversities.com/universities/hitotsubashi-university,"Kunitachi City, Japan",-,5995.0,767.0,553,21.9,2.4,84.3,64.5,,6.4,21.2,13.9,30.7
533,531-540,Inha University,https://www.topuniversities.com/universities/inha-university,"Incheon, South Korea",-,14982.0,1572.0,"2,013",15.4,12,13.7,17.9,,29.4,8.4,8.7,73.4
